slno,vehicle_type,brand,model,engine_type,make_year,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,timing_belt,cost
913,car,honda,city,diesel,2016,50000,50754,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7699
914,car,honda,city,diesel,2016,50000,51437,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7799
915,car,honda,city,diesel,2016,50000,50789,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7600
916,car,honda,city,diesel,2016,50000,50432,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7599
917,car,honda,city,diesel,2016,50000,50659,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7549
918,car,honda,city,diesel,2016,50000,53768,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7489
919,car,honda,city,diesel,2016,50000,50769,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7510
920,car,honda,city,diesel,2016,50000,49013,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7539
921,car,honda,city,diesel,2016,50000,51556,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7542
922,car,honda,city,diesel,2016,50000,50897,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7570
923,car,honda,city,diesel,2016,50000,50086,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7575
924,car,honda,city,diesel,2016,60000,60879,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9599
925,car,honda,city,diesel,2016,60000,60839,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9000
926,car,honda,city,diesel,2016,60000,60321,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9428
927,car,honda,city,diesel,2016,60000,61733,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9247
928,car,honda,city,diesel,2016,60000,60977,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9373
929,car,honda,city,diesel,2016,60000,60632,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9473
930,car,honda,city,diesel,2016,60000,60872,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9211
931,car,honda,city,diesel,2016,60000,60134,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9088
932,car,honda,city,diesel,2016,60000,60427,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9099
933,car,honda,city,diesel,2016,60000,60349,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9438
934,car,honda,city,diesel,2016,60000,60374,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9237
935,car,honda,city,diesel,2016,60000,60694,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9473
936,car,honda,city,diesel,2016,60000,61379,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9376
937,car,honda,city,diesel,2016,60000,59262,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9276
938,car,honda,city,diesel,2016,60000,60876,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9256
939,car,honda,city,diesel,2016,60000,60456,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9186
940,car,honda,city,diesel,2016,60000,60657,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9642
941,car,honda,city,diesel,2016,60000,59760,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9374
942,car,honda,city,diesel,2016,60000,61234,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9163
943,car,honda,city,diesel,2016,60000,60789,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,9346
944,car,honda,city,diesel,2016,70000,70765,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6100
945,car,honda,city,diesel,2016,70000,70384,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6199
946,car,honda,city,diesel,2016,70000,70976,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6099
947,car,honda,city,diesel,2016,70000,71253,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6089
948,car,honda,city,diesel,2016,70000,70311,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6189
949,car,honda,city,diesel,2016,70000,70789,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6179
950,car,honda,city,diesel,2016,70000,70098,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6188
951,car,honda,city,diesel,2016,70000,69432,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6132
952,car,honda,city,diesel,2016,70000,70894,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6110
953,car,honda,city,diesel,2016,70000,70753,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6290
954,car,honda,city,diesel,2016,70000,70756,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6279
955,car,honda,city,diesel,2016,70000,70890,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6249
956,car,honda,city,diesel,2016,70000,69876,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6149
957,car,honda,city,diesel,2016,70000,70766,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6300
958,car,honda,city,diesel,2016,70000,70087,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6200
959,car,honda,city,diesel,2016,70000,70234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6298
960,car,honda,city,diesel,2016,70000,71456,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6281
961,car,honda,city,diesel,2016,70000,70975,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6400
962,car,honda,city,diesel,2016,70000,70255,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7200
963,car,honda,city,diesel,2016,70000,70346,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7300
964,car,honda,city,diesel,2016,80000,83678,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,8500
965,car,honda,city,diesel,2016,80000,88432,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,8599
966,car,honda,city,diesel,2016,80000,83223,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,8589
967,car,honda,city,diesel,2016,80000,84978,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,8600
968,car,honda,city,diesel,2016,80000,89262,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,8699
969,car,honda,city,diesel,2016,80000,81362,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,8619
970,car,honda,city,diesel,2016,80000,80623,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,8700
971,car,honda,city,diesel,2016,80000,80628,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,8499
972,car,honda,city,diesel,2016,80000,90624,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8489
973,car,honda,city,diesel,2016,100000,95293,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8810
974,car,honda,city,diesel,2016,100000,98673,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8539
975,car,honda,city,diesel,2016,100000,92463,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8250
976,car,honda,city,diesel,2016,100000,102836,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,9000
977,car,honda,city,diesel,2016,100000,108236,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,8900
978,car,honda,city,diesel,2016,100000,117248,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,8999
979,car,honda,city,diesel,2016,100000,128699,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,8700
980,car,toyota,fortuner,diesel,2016,10000,10657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2089
981,car,toyota,fortuner,diesel,2016,10000,10732,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2045
982,car,toyota,fortuner,diesel,2016,10000,10232,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2176
983,car,toyota,fortuner,diesel,2016,10000,10747,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
984,car,toyota,fortuner,diesel,2016,10000,11237,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
985,car,toyota,fortuner,diesel,2016,10000,10355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2078
986,car,toyota,fortuner,diesel,2016,10000,11028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2075
987,car,toyota,fortuner,diesel,2016,10000,10843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2089
988,car,toyota,fortuner,diesel,2016,10000,10686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2099
989,car,toyota,fortuner,diesel,2016,10000,10573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
990,car,toyota,fortuner,diesel,2016,10000,10992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2109
991,car,toyota,fortuner,diesel,2016,10000,10376,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2199
992,car,toyota,fortuner,diesel,2016,10000,11009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2189
993,car,toyota,fortuner,diesel,2016,10000,10048,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2179
994,car,toyota,fortuner,diesel,2016,10000,10623,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2149
995,car,toyota,fortuner,diesel,2016,10000,9076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2169
996,car,toyota,fortuner,diesel,2016,10000,10783,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2129
997,car,toyota,fortuner,diesel,2016,10000,10673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2079
998,car,toyota,fortuner,diesel,2016,10000,10342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2099
999,car,toyota,fortuner,diesel,2016,10000,10024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1000,car,toyota,fortuner,diesel,2016,20000,20568,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3400
1001,car,toyota,fortuner,diesel,2016,20000,20657,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3411
1002,car,toyota,fortuner,diesel,2016,20000,20732,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3430
1003,car,toyota,fortuner,diesel,2016,20000,20327,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3434
1004,car,toyota,fortuner,diesel,2016,20000,20474,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3488
1005,car,toyota,fortuner,diesel,2016,20000,20473,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3499
1006,car,toyota,fortuner,diesel,2016,20000,20436,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3498
1007,car,toyota,fortuner,diesel,2016,20000,20859,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3400
1008,car,toyota,fortuner,diesel,2016,20000,20908,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3500
1009,car,toyota,fortuner,diesel,2016,20000,21382,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3599
1010,car,toyota,fortuner,diesel,2016,20000,19732,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3489
1011,car,toyota,fortuner,diesel,2016,20000,20823,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3449
1012,car,toyota,fortuner,diesel,2016,20000,20373,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3399
1013,car,toyota,fortuner,diesel,2016,20000,20472,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3389
1014,car,toyota,fortuner,diesel,2016,20000,20879,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3510
1015,car,toyota,fortuner,diesel,2016,20000,22658,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3400
1016,car,toyota,fortuner,diesel,2016,20000,20657,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3410
1017,car,toyota,fortuner,diesel,2016,20000,20158,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3418
1018,car,toyota,fortuner,diesel,2016,20000,20655,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3419
1019,car,toyota,fortuner,diesel,2016,20000,20989,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3420
1020,car,toyota,fortuner,diesel,2016,30000,30321,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3600
1021,car,toyota,fortuner,diesel,2016,30000,30677,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3699
1022,car,toyota,fortuner,diesel,2016,30000,30611,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3689
1023,car,toyota,fortuner,diesel,2016,30000,30018,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3599
1024,car,toyota,fortuner,diesel,2016,30000,30783,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3610
1025,car,toyota,fortuner,diesel,2016,30000,30463,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3600
1026,car,toyota,fortuner,diesel,2016,30000,30463,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3630
1027,car,toyota,fortuner,diesel,2016,30000,29625,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3649
1028,car,toyota,fortuner,diesel,2016,30000,31833,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3700
1029,car,toyota,fortuner,diesel,2016,30000,30172,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3749
1030,car,toyota,fortuner,diesel,2016,30000,30132,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3749
1031,car,toyota,fortuner,diesel,2016,30000,29234,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3710
1032,car,toyota,fortuner,diesel,2016,30000,30541,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3699
1033,car,toyota,fortuner,diesel,2016,30000,29650,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3677
1034,car,toyota,fortuner,diesel,2016,30000,30089,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3690
1035,car,toyota,fortuner,diesel,2016,30000,30658,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3666
1036,car,toyota,fortuner,diesel,2016,30000,30540,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3646
1037,car,toyota,fortuner,diesel,2016,30000,30719,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3655
1038,car,toyota,fortuner,diesel,2016,30000,30257,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3650
1039,car,toyota,fortuner,diesel,2016,30000,31566,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3699
1040,car,toyota,fortuner,diesel,2016,40000,40078,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4300
1041,car,toyota,fortuner,diesel,2016,40000,40722,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4349
1042,car,toyota,fortuner,diesel,2016,40000,40283,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4399
1043,car,toyota,fortuner,diesel,2016,40000,40287,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4389
1044,car,toyota,fortuner,diesel,2016,40000,39723,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4350
1045,car,toyota,fortuner,diesel,2016,40000,41372,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4300
1046,car,toyota,fortuner,diesel,2016,40000,40282,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4410
1047,car,toyota,fortuner,diesel,2016,40000,40483,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4299
1048,car,toyota,fortuner,diesel,2016,40000,40984,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4449
1049,car,toyota,fortuner,diesel,2016,40000,40932,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4489
1050,car,toyota,fortuner,diesel,2016,40000,40282,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4499
1051,car,toyota,fortuner,diesel,2016,40000,40221,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4488
1052,car,toyota,fortuner,diesel,2016,40000,42778,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4444
1053,car,toyota,fortuner,diesel,2016,40000,40787,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4333
1054,car,toyota,fortuner,diesel,2016,40000,40098,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4344
1055,car,toyota,fortuner,diesel,2016,40000,40379,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4443
1056,car,toyota,fortuner,diesel,2016,40000,40257,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4499
1057,car,toyota,fortuner,diesel,2016,40000,40764,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4477
1058,car,toyota,fortuner,diesel,2016,40000,40643,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4450
1059,car,toyota,fortuner,diesel,2016,40000,40173,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4389
1060,car,toyota,fortuner,diesel,2016,50000,50583,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4100
1061,car,toyota,fortuner,diesel,2016,50000,50236,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4110
1062,car,toyota,fortuner,diesel,2016,50000,50673,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4199
1063,car,toyota,fortuner,diesel,2016,50000,50892,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4189
1064,car,toyota,fortuner,diesel,2016,50000,51427,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4179
1065,car,toyota,fortuner,diesel,2016,50000,50237,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4100
1066,car,toyota,fortuner,diesel,2016,50000,49622,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4150
1067,car,toyota,fortuner,diesel,2016,50000,49263,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4198
1068,car,toyota,fortuner,diesel,2016,50000,50268,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4148
1069,car,toyota,fortuner,diesel,2016,50000,51452,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4141
1070,car,toyota,fortuner,diesel,2016,50000,50348,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4200
1071,car,toyota,fortuner,diesel,2016,50000,50888,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4210
1072,car,toyota,fortuner,diesel,2016,50000,50678,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4242
1073,car,toyota,fortuner,diesel,2016,50000,50755,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4190
1074,car,toyota,fortuner,diesel,2016,50000,50245,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4100
1075,car,toyota,fortuner,diesel,2016,50000,50345,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4099
1076,car,toyota,fortuner,diesel,2016,50000,50896,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4089
1077,car,toyota,fortuner,diesel,2016,50000,50890,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4123
1078,car,toyota,fortuner,diesel,2016,50000,50789,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,4243
1079,car,toyota,fortuner,diesel,2016,50000,50246,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,4290
1080,car,toyota,fortuner,diesel,2016,60000,60934,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,6400
1081,car,toyota,fortuner,diesel,2016,60000,60272,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,6399
1082,car,toyota,fortuner,diesel,2016,60000,60347,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6419
1083,car,toyota,fortuner,diesel,2016,60000,60322,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6410
1084,car,toyota,fortuner,diesel,2016,60000,60347,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6499
1085,car,toyota,fortuner,diesel,2016,60000,60839,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6500
1086,car,toyota,fortuner,diesel,2016,60000,60321,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6499
1087,car,toyota,fortuner,diesel,2016,60000,61733,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6521
1088,car,toyota,fortuner,diesel,2016,60000,60977,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6599
1089,car,toyota,fortuner,diesel,2016,60000,60632,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6322
1090,car,toyota,fortuner,diesel,2016,60000,60872,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6423
1091,car,toyota,fortuner,diesel,2016,60000,60134,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6522
1092,car,toyota,fortuner,diesel,2016,60000,60427,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6500
1093,car,toyota,fortuner,diesel,2016,60000,60456,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6489
1094,car,toyota,fortuner,diesel,2016,60000,60677,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6479
1095,car,toyota,fortuner,diesel,2016,60000,60345,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6477
1096,car,toyota,fortuner,diesel,2016,60000,60989,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6488
1097,car,toyota,fortuner,diesel,2016,60000,60123,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6432
1098,car,toyota,fortuner,diesel,2016,60000,60023,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6438
1099,car,toyota,fortuner,diesel,2016,60000,60582,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6500
1100,car,toyota,fortuner,diesel,2016,70000,70456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5200
1101,car,toyota,fortuner,diesel,2016,70000,70787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5200
1102,car,toyota,fortuner,diesel,2016,70000,70747,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5350
1103,car,toyota,fortuner,diesel,2016,70000,70360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5299
1104,car,toyota,fortuner,diesel,2016,70000,71580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5399
1105,car,toyota,fortuner,diesel,2016,70000,70765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5289
1106,car,toyota,fortuner,diesel,2016,70000,70272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5389
1107,car,toyota,fortuner,diesel,2016,70000,70347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5250
1108,car,toyota,fortuner,diesel,2016,70000,70322,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5350
1109,car,toyota,fortuner,diesel,2016,70000,70347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5249
1110,car,toyota,fortuner,diesel,2016,70000,70473,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5349
1111,car,toyota,fortuner,diesel,2016,70000,71009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5388
1112,car,toyota,fortuner,diesel,2016,70000,69498,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5488
1113,car,toyota,fortuner,diesel,2016,70000,70777,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5310
1114,car,toyota,fortuner,diesel,2016,70000,70320,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5210
1115,car,toyota,fortuner,diesel,2016,70000,70380,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5200
1116,car,toyota,fortuner,diesel,2016,70000,70134,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5300
1117,car,toyota,fortuner,diesel,2016,70000,70333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5299
1118,car,toyota,fortuner,diesel,2016,70000,70076,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5279
1119,car,toyota,fortuner,diesel,2016,70000,70976,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5269
1120,car,toyota,fortuner,diesel,2016,80000,82879,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,7100
1121,car,toyota,fortuner,diesel,2016,80000,84232,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,7200
1122,car,toyota,fortuner,diesel,2016,80000,86289,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7099
1123,car,toyota,fortuner,diesel,2016,80000,89827,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7089
1124,car,toyota,fortuner,diesel,2016,80000,83238,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7199
1125,car,toyota,fortuner,diesel,2016,80000,81723,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7189
1126,car,toyota,fortuner,diesel,2016,80000,88937,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7190
1127,car,toyota,fortuner,diesel,2016,80000,80782,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7149
1128,car,toyota,fortuner,diesel,2016,80000,81923,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7150
1129,car,toyota,fortuner,diesel,2016,80000,82732,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7110
1130,car,toyota,fortuner,diesel,2016,80000,80327,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7200
1131,car,toyota,fortuner,diesel,2016,80000,80311,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,7249
1132,car,toyota,fortuner,diesel,2016,80000,90677,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,7290
1133,car,toyota,fortuner,diesel,2016,100000,94373,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7250
1134,car,toyota,fortuner,diesel,2016,100000,91263,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7299
1135,car,toyota,fortuner,diesel,2016,100000,96236,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7289
1136,car,toyota,fortuner,diesel,2016,100000,93438,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7280
1137,car,toyota,fortuner,diesel,2016,100000,106788,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,7310
1138,car,toyota,fortuner,diesel,2016,100000,112576,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,7349
1139,car,toyota,fortuner,diesel,2016,100000,110757,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,7399
1140,car,toyota,prius ,petrol,2005,5000,5325,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,
1141,car,toyota,prius ,petrol,2005,10000,10560,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,
1142,car,toyota,prius ,petrol,2005,20000,20450,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,
1143,car,toyota,prius ,petrol,2005,30000,30100,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,
1144,car,toyota,prius ,petrol,2005,40000,40230,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,
1145,car,toyota,prius ,petrol,2005,50000,50115,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,
1146,car,toyota,prius ,petrol,2005,60000,60750,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,
1147,car,toyota,prius ,petrol,2005,70000,71200,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,
1148,car,toyota,prius ,petrol,2005,80000,80150,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,
1149,car,toyota,prius ,petrol,2005,90000,90650,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,
